epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,5104.79,0.9211,0.87502,1.20785,0.84662,0.73051,0.82977,0.62584,0.93683,0.74394,1.0212,0.0004456,0.0004456,0.0004456
58,5197.81,0.91261,0.8657,1.20318,0.84595,0.73013,0.83021,0.6276,0.91673,0.72965,1.01592,0.0004357,0.0004357,0.0004357
59,5297.56,0.91007,0.86847,1.20318,0.8436,0.73863,0.83414,0.63199,0.91093,0.72226,1.01289,0.0004258,0.0004258,0.0004258
60,5396.57,0.90927,0.85671,1.20009,0.84722,0.72754,0.83008,0.62645,0.91342,0.72436,1.01288,0.0004159,0.0004159,0.0004159
61,5488.58,0.91452,0.86435,1.20309,0.8313,0.73962,0.82967,0.63097,0.9148,0.72562,1.0145,0.000406,0.000406,0.000406
62,5575.85,0.90639,0.85667,1.19944,0.82833,0.74566,0.83211,0.63456,0.90566,0.71699,1.01051,0.0003961,0.0003961,0.0003961
63,5664.95,0.90579,0.85427,1.19687,0.82112,0.75157,0.83454,0.63693,0.90312,0.7138,1.00842,0.0003862,0.0003862,0.0003862
64,5763.47,0.9028,0.85552,1.19781,0.84732,0.73715,0.83408,0.63702,0.90699,0.71274,1.00833,0.0003763,0.0003763,0.0003763
65,5853.07,0.89848,0.85802,1.19854,0.84161,0.73715,0.83491,0.63696,0.9043,0.70685,1.00643,0.0003664,0.0003664,0.0003664
66,5945.3,0.90049,0.84873,1.19702,0.84508,0.74011,0.83479,0.63476,0.9106,0.70621,1.01122,0.0003565,0.0003565,0.0003565
67,6043.46,0.89222,0.84486,1.19413,0.84596,0.73902,0.8375,0.63713,0.9158,0.70505,1.01561,0.0003466,0.0003466,0.0003466
68,6140.26,0.89286,0.84124,1.19417,0.83443,0.74455,0.83658,0.6353,0.91721,0.70901,1.0166,0.0003367,0.0003367,0.0003367
69,6236.04,0.89878,0.84379,1.19414,0.84918,0.73567,0.835,0.63441,0.91406,0.71326,1.01383,0.0003268,0.0003268,0.0003268
70,6328.65,0.89456,0.84279,1.19295,0.84836,0.73641,0.83466,0.63547,0.91401,0.71062,1.01351,0.0003169,0.0003169,0.0003169
71,6425.45,0.88069,0.82472,1.18555,0.84336,0.74677,0.83593,0.63618,0.91488,0.7097,1.01308,0.000307,0.000307,0.000307
72,6521.93,0.88512,0.82627,1.18785,0.84141,0.74924,0.83716,0.63689,0.9116,0.70391,1.01182,0.0002971,0.0002971,0.0002971
73,6615.89,0.88469,0.82678,1.18878,0.84622,0.74048,0.83833,0.63788,0.90771,0.70341,1.01199,0.0002872,0.0002872,0.0002872
